Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"SLC34A3","Solute Carrier Family 34 Member 3","Protein Coding","41","GC09P137230","45.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A3"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","51","GC17P068414","44.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"CYP24A1","Cytochrome P450 Family 24 Subfamily A Member 1","Protein Coding","47","GC20M054153","44.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP24A1"
"VDR","Vitamin D Receptor","Protein Coding","51","GC12M047841","43.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"CLDN16","Claudin 16","Protein Coding","41","GC03P190290","43.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN16"
"MEN1","Menin 1","Protein Coding","46","GC11M064803","43.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"GNAS","GNAS Complex Locus","Protein Coding","50","GC20P058839","42.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"CACNA2D1","Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 1","Protein Coding","45","GC07M081946","42.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D1"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","46","GC04P087975","42.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"RYR2","Ryanodine Receptor 2","Protein Coding","47","GC01P237042","41.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR2"
"AGXT","Alanine--Glyoxylate And Serine--Pyruvate Aminotransferase","Protein Coding","45","GC02P240868","41.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGXT"
"BGLAP","Bone Gamma-Carboxyglutamate Protein","Protein Coding","40","GC01P156242","41.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP"
"SLC8A1","Solute Carrier Family 8 Member A1","Protein Coding","44","GC02M040078","41.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A1"
"CACNA1G","Calcium Voltage-Gated Channel Subunit Alpha1 G","Protein Coding","48","GC17P050561","40.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1G"
"CACNA1F","Calcium Voltage-Gated Channel Subunit Alpha1 F","Protein Coding","45","GC0XM049205","40.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1F"
"CAMK2G","Calcium/Calmodulin Dependent Protein Kinase II Gamma","Protein Coding","47","GC10M073812","40.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G"
"CACNA1E","Calcium Voltage-Gated Channel Subunit Alpha1 E","Protein Coding","46","GC01P181317","40.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1E"
"CDC73","Cell Division Cycle 73","Protein Coding","44","GC01P193121","40","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73"
"ATP2A2","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 2","Protein Coding","51","GC12P110280","39.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A2"
"ADCY10","Adenylate Cyclase 10","Protein Coding","45","GC01M167809","39.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY10"
"CACNA1H","Calcium Voltage-Gated Channel Subunit Alpha1 H","Protein Coding","50","GC16P001153","39.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1H"
"CACNB1","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 1","Protein Coding","42","GC17M039173","38.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB1"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","43","GC11M014945","38.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"CACNB3","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 3","Protein Coding","42","GC12P048813","38.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB3"
"CLCN5","Chloride Voltage-Gated Channel 5","Protein Coding","42","GC0XP049922","38.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN5"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","47","GC06P131808","38.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"ATP2A1","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 1","Protein Coding","48","GC16P029020","38.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A1"
"KL","Klotho","Protein Coding","44","GC13P033016","37.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL"
"RET","Ret Proto-Oncogene","Protein Coding","53","GC10P043081","37.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"TRPM6","Transient Receptor Potential Cation Channel Subfamily M Member 6","Protein Coding","45","GC09M074725","37.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM6"
"ALB","Albumin","Protein Coding","50","GC04P073397","37.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"GRHPR","Glyoxylate And Hydroxypyruvate Reductase","Protein Coding","46","GC09P037412","37.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRHPR"
"CALM1","Calmodulin 1","Protein Coding","45","GC14P090396","37.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM1"
"CACNA1I","Calcium Voltage-Gated Channel Subunit Alpha1 I","Protein Coding","44","GC22P039570","37.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1I"
"CACNB4","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 4","Protein Coding","45","GC02M151832","36.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB4"
"KCNMA1","Potassium Calcium-Activated Channel Subfamily M Alpha 1","Protein Coding","49","GC10M076869","36.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1"
"STIM1","Stromal Interaction Molecule 1","Protein Coding","48","GC11P003855","36.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIM1"
"CLCNKB","Chloride Voltage-Gated Channel Kb","Protein Coding","44","GC01P016043","35.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCNKB"
"EGF","Epidermal Growth Factor","Protein Coding","51","GC04P109912","35.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"GALNT3","Polypeptide N-Acetylgalactosaminyltransferase 3","Protein Coding","45","GC02M165747","35.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT3"
"CACNA2D2","Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 2","Protein Coding","41","GC03M050385","35.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D2"
"SLC26A1","Solute Carrier Family 26 Member 1","Protein Coding","40","GC04M000979","34.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A1"
"PDGFRB","Platelet Derived Growth Factor Receptor Beta","Protein Coding","55","GC05M150113","34.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB"
"PHEX","Phosphate Regulating Endopeptidase Homolog X-Linked","Protein Coding","40","GC0XP022032","34.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHEX"
"CASQ1","Calsequestrin 1","Protein Coding","43","GC01P160190","33.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASQ1"
"ITPR1","Inositol 1,4,5-Trisphosphate Receptor Type 1","Protein Coding","48","GC03P004486","33.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR1"
"ALPL","Alkaline Phosphatase, Biomineralization Associated","Protein Coding","50","GC01P021508","33.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPL"
"S100B","S100 Calcium Binding Protein B","Protein Coding","45","GC21M047431","33.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B"
"CACNA2D3","Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 3","Protein Coding","40","GC03P054156","33.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D3"
"CALM2","Calmodulin 2","Protein Coding","44","GC02M047124","32.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM2"
"CACNG1","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 1","Protein Coding","41","GC17P067044","32.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG1"
"CAMK2A","Calcium/Calmodulin Dependent Protein Kinase II Alpha","Protein Coding","49","GC05M150219","32.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2A"
"SLC20A2","Solute Carrier Family 20 Member 2","Protein Coding","46","GC08M042416","32.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC20A2"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","51","GC07P150990","31.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"CALB1","Calbindin 1","Protein Coding","41","GC08M090058","31.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB1"
"RYR3","Ryanodine Receptor 3","Protein Coding","41","GC15P033310","31.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR3"
"ATP2B1","ATPase Plasma Membrane Ca2+ Transporting 1","Protein Coding","44","GC12M089588","31.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B1"
"CLDN19","Claudin 19","Protein Coding","41","GC01M042742","31.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN19"
"ATP2A3","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 3","Protein Coding","44","GC17M003923","31.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A3"
"SLC12A1","Solute Carrier Family 12 Member 1","Protein Coding","46","GC15P048191","31.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1"
"S100A6","S100 Calcium Binding Protein A6","Protein Coding","43","GC01M153535","30.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A6"
"SLC12A3","Solute Carrier Family 12 Member 3","Protein Coding","47","GC16P056865","30.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A3"
"TRPV5","Transient Receptor Potential Cation Channel Subfamily V Member 5","Protein Coding","45","GC07M142908","30.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV5"
"PTH1R","Parathyroid Hormone 1 Receptor","Protein Coding","50","GC03P046877","30.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH1R"
"CIB1","Calcium And Integrin Binding 1","Protein Coding","41","GC15M090229","30.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIB1"
"NCS1","Neuronal Calcium Sensor 1","Protein Coding","41","GC09P130172","30.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCS1"
"CALM3","Calmodulin 3","Protein Coding","42","GC19P046601","30","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM3"
"REN","Renin","Protein Coding","48","GC01M204154","29.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"SLC8A3","Solute Carrier Family 8 Member A3","Protein Coding","43","GC14M070044","29.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A3"
"MICU1","Mitochondrial Calcium Uptake 1","Protein Coding","39","GC10M072367","29.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICU1"
"S100A9","S100 Calcium Binding Protein A9","Protein Coding","43","GC01P153357","29.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9"
"ELN","Elastin","Protein Coding","44","GC07P074027","28.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"CACNA2D4","Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 4","Protein Coding","42","GC12M001771","28.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D4"
"MCU","Mitochondrial Calcium Uniporter","Protein Coding","36","GC10P072692","28.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCU"
"CABP1","Calcium Binding Protein 1","Protein Coding","34","GC12P120676","28.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABP1"
"PTHLH","Parathyroid Hormone Like Hormone","Protein Coding","45","GC12M027959","28.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTHLH"
"HOGA1","4-Hydroxy-2-Oxoglutarate Aldolase 1","Protein Coding","39","GC10P097585","28.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOGA1"
"KCNN3","Potassium Calcium-Activated Channel Subfamily N Member 3","Protein Coding","44","GC01M154697","28.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN3"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","42","GC01M153391","28.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"KCNN4","Potassium Calcium-Activated Channel Subfamily N Member 4","Protein Coding","48","GC19M043767","27.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN4"
"PLA2G4A","Phospholipase A2 Group IVA","Protein Coding","49","GC01P186798","27.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G4A"
"FXYD2","FXYD Domain Containing Ion Transport Regulator 2","Protein Coding","43","GC11M117800","27.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXYD2"
"CAMK2D","Calcium/Calmodulin Dependent Protein Kinase II Delta","Protein Coding","48","GC04M113452","27.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2D"
"CAMK4","Calcium/Calmodulin Dependent Protein Kinase IV","Protein Coding","45","GC05P111223","27.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK4"
"ATP2B2","ATPase Plasma Membrane Ca2+ Transporting 2","Protein Coding","45","GC03M010324","27.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B2"
"CACNG2","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 2","Protein Coding","44","GC22M036561","27.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG2"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","47","GC22M046185","27.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"KCNMB1","Potassium Calcium-Activated Channel Subfamily M Regulatory Beta Subunit 1","Protein Coding","42","GC05M170374","27.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB1"
"HSPG2","Heparan Sulfate Proteoglycan 2","Protein Coding","45","GC01M021822","27.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPG2"
"SLC24A3","Solute Carrier Family 24 Member 3","Protein Coding","39","GC20P019212","27.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A3"
"ATP2B4","ATPase Plasma Membrane Ca2+ Transporting 4","Protein Coding","44","GC01P203626","27.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B4"
"CAMK2B","Calcium/Calmodulin Dependent Protein Kinase II Beta","Protein Coding","50","GC07M044217","27.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2B"
"CCND1","Cyclin D1","Protein Coding","52","GC11P069641","26.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"CACNG4","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 4","Protein Coding","40","GC17P066964","26.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG4"
"PDCD6","Programmed Cell Death 6","Protein Coding","39","GC05P000272","26.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6"
"SLC8A2","Solute Carrier Family 8 Member A2","Protein Coding","40","GC19M047428","26.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A2"
"CAMK1","Calcium/Calmodulin Dependent Protein Kinase I","Protein Coding","43","GC03M009774","26.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1"
"SLC8B1","Solute Carrier Family 8 Member B1","Protein Coding","38","GC12M113298","26.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8B1"
"S100A1","S100 Calcium Binding Protein A1","Protein Coding","41","GC01P153627","26.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A1"
"MICU2","Mitochondrial Calcium Uptake 2","Protein Coding","36","GC13M021492","26.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICU2"
"LBR","Lamin B Receptor","Protein Coding","47","GC01M225401","26.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBR"
"SLC24A1","Solute Carrier Family 24 Member 1","Protein Coding","44","GC15P065611","26.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A1"
"KCNN1","Potassium Calcium-Activated Channel Subfamily N Member 1","Protein Coding","39","GC19P023319","26.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN1"
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","25.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"S100A10","S100 Calcium Binding Protein A10","Protein Coding","45","GC01M151955","25.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A10"
"GRM1","Glutamate Metabotropic Receptor 1","Protein Coding","50","GC06P145973","25.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM1"
"NR1I3","Nuclear Receptor Subfamily 1 Group I Member 3","Protein Coding","44","GC01M161229","25.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I3"
"CXADR","CXADR Ig-Like Cell Adhesion Molecule","Protein Coding","43","GC21P017512","25.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXADR"
"CACNG6","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 6","Protein Coding","38","GC19P053991","25.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG6"
"CAMKK2","Calcium/Calmodulin Dependent Protein Kinase Kinase 2","Protein Coding","45","GC12M121309","25.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK2"
"CASQ2","Calsequestrin 2","Protein Coding","44","GC01M115700","25.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASQ2"
"TRPC4","Transient Receptor Potential Cation Channel Subfamily C Member 4","Protein Coding","44","GC13M037636","25.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC4"
"CD44","CD44 Molecule (Indian Blood Group)","Protein Coding","47","GC11P035139","25.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"HRC","Histidine Rich Calcium Binding Protein","Protein Coding","36","GC19M049151","25.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRC"
"CYP2R1","Cytochrome P450 Family 2 Subfamily R Member 1","Protein Coding","45","GC11M014877","25.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2R1"
"CALCR","Calcitonin Receptor","Protein Coding","48","GC07M093424","25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCR"
"TRPC1","Transient Receptor Potential Cation Channel Subfamily C Member 1","Protein Coding","42","GC03P142724","25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC1"
"CALR","Calreticulin","Protein Coding","51","GC19P012938","24.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR"
"CALB2","Calbindin 2","Protein Coding","40","GC16P071392","24.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB2"
"ATP2B3","ATPase Plasma Membrane Ca2+ Transporting 3","Protein Coding","47","GC0XP153517","24.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B3"
"GATA3","GATA Binding Protein 3","Protein Coding","49","GC10P008045","24.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3"
"S100A12","S100 Calcium Binding Protein A12","Protein Coding","39","GC01M153373","24.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12"
"PDGFB","Platelet Derived Growth Factor Subunit B","Protein Coding","50","GC22M045657","24.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB"
"S100A4","S100 Calcium Binding Protein A4","Protein Coding","44","GC01M153543","24.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A4"
"CANT1","Calcium Activated Nucleotidase 1","Protein Coding","44","GC17M078992","24.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANT1"
"OCRL","OCRL Inositol Polyphosphate-5-Phosphatase","Protein Coding","44","GC0XP129539","24.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCRL"
"SLC24A2","Solute Carrier Family 24 Member 2","Protein Coding","39","GC09M019507","24.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A2"
"ORAI3","ORAI Calcium Release-Activated Calcium Modulator 3","Protein Coding","33","GC16P030949","24.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI3"
"CRP","C-Reactive Protein","Protein Coding","46","GC01M159716","24.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"ORAI2","ORAI Calcium Release-Activated Calcium Modulator 2","Protein Coding","38","GC07P102433","24.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI2"
"CACNG7","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 7","Protein Coding","37","GC19P053909","24.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG7"
"SRI","Sorcin","Protein Coding","42","GC07M088205","24.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRI"
"KCNMB4","Potassium Calcium-Activated Channel Subfamily M Regulatory Beta Subunit 4","Protein Coding","40","GC12P070369","24.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB4"
"CACNG8","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 8","Protein Coding","37","GC19P054637","24.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG8"
"S100P","S100 Calcium Binding Protein P","Protein Coding","40","GC04P006700","24.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100P"
"CACNG3","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 3","Protein Coding","41","GC16P024267","24.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG3"
"SLC34A2","Solute Carrier Family 34 Member 2","Protein Coding","45","GC04P025657","23.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A2"
"GNAQ","G Protein Subunit Alpha Q","Protein Coding","49","GC09M077716","23.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","49","GC17P063477","23.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"TRPC6","Transient Receptor Potential Cation Channel Subfamily C Member 6","Protein Coding","48","GC11M101356","23.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC6"
"HPCA","Hippocalcin","Protein Coding","41","GC01P032885","23.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPCA"
"PLN","Phospholamban","Protein Coding","44","GC06P118548","23.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLN"
"CACNG5","Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 5","Protein Coding","40","GC17P066835","23.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG5"
"DMD","Dystrophin","Protein Coding","46","GC0XM031047","23.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"S100G","S100 Calcium Binding Protein G","Protein Coding","36","GC0XP016668","23.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100G"
"KCNN2","Potassium Calcium-Activated Channel Subfamily N Member 2","Protein Coding","43","GC05P114058","22.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN2"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","51","GC07P117287","22.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"RASGRP2","RAS Guanyl Releasing Protein 2","Protein Coding","45","GC11M064726","22.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP2"
"DSPP","Dentin Sialophosphoprotein","Protein Coding","37","GC04P087608","22.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSPP"
"PSEN1","Presenilin 1","Protein Coding","52","GC14P073136","22.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1"
"INS","Insulin","Protein Coding","48","GC11M002159","22.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
